Time(s),Phase,Progress,WinnerIndex,Force_F0,Force_F1,Force_F2,Force_F3,Force_F4,Fatigue_F0,Fatigue_F1,Fatigue_F2,Fatigue_F3,Fatigue_F4,P3_Accuracy
0.13,0,-1.000,-1,0.01,0.02,0.05,0.07,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.20,0,-1.000,-1,0.00,0.01,0.04,0.06,0.03,NaN,NaN,NaN,NaN,NaN,NaN
0.30,0,-1.000,-1,0.00,0.01,0.03,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.39,0,-1.000,-1,0.00,0.01,0.03,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.46,0,-1.000,-1,0.01,0.00,0.04,0.06,0.05,NaN,NaN,NaN,NaN,NaN,NaN
0.56,0,-1.000,-1,0.01,0.00,0.04,0.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN
0.63,0,-1.000,-1,0.00,0.01,0.04,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.72,0,-1.000,-1,0.01,0.00,0.03,0.06,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.81,0,-1.000,-1,0.00,0.00,0.04,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.91,0,-1.000,-1,0.01,0.02,0.04,0.05,0.01,NaN,NaN,NaN,NaN,NaN,NaN
0.98,0,-1.000,-1,0.01,0.01,0.04,0.05,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.05,0,-1.000,-1,0.00,0.01,0.04,0.06,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.15,0,-1.000,-1,0.01,0.01,0.04,0.05,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.22,0,-1.000,-1,0.01,0.01,0.04,0.06,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.29,0,-1.000,-1,0.00,0.01,0.04,0.05,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1.39,0,-1.000,-1,0.01,0.02,0.06,0.06,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1.48,0,-1.000,-1,0.01,0.00,0.06,0.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.58,0,-1.000,-1,0.00,0.00,0.06,0.06,0.02,NaN,NaN,NaN,NaN,NaN,NaN
1.67,0,-1.000,-1,0.01,0.01,0.06,0.09,0.01,NaN,NaN,NaN,NaN,NaN,NaN
1.76,0,-1.000,-1,0.02,0.01,0.04,0.02,0.03,NaN,NaN,NaN,NaN,NaN,NaN
1.84,0,-1.000,-1,0.00,0.00,0.05,0.08,0.04,NaN,NaN,NaN,NaN,NaN,NaN
1.91,0,-1.000,-1,0.00,0.02,0.06,0.07,0.07,NaN,NaN,NaN,NaN,NaN,NaN
1.99,0,-1.000,-1,0.01,0.00,0.07,0.08,0.02,NaN,NaN,NaN,NaN,NaN,NaN
2.06,0,-1.000,-1,0.01,0.06,0.02,0.05,0.13,NaN,NaN,NaN,NaN,NaN,NaN
2.14,0,-1.000,-1,0.02,0.06,0.10,0.10,0.04,NaN,NaN,NaN,NaN,NaN,NaN
2.23,0,-1.000,-1,0.01,0.07,0.12,0.13,0.06,NaN,NaN,NaN,NaN,NaN,NaN
2.31,0,-1.000,-1,0.00,0.06,0.11,0.10,0.05,NaN,NaN,NaN,NaN,NaN,NaN
